campaign,contrast,a_mode,b_mode,delta_direction,n_relevant_blocks,n_present_pairs,n_incomplete_pairs,n_invalid_pairs,n_valid_pairs,n_complete_pairs,n_AB_present,n_BA_present,n_AB_valid,n_BA_valid,order_balance_difference,order_balanced,metric,population,delta_n,delta_median,delta_q1,delta_q3,delta_AB_n,delta_AB_median,delta_AB_q1,delta_AB_q3,delta_BA_n,delta_BA_median,delta_BA_q1,delta_BA_q3,order_interaction,approx_order_effect
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,clearance_m,valid,10,0.010086499999999998,-0.16426775,0.034931,5,0.013979999999999992,-0.074798,0.017684000000000005,5,0.006193000000000004,-0.19409099999999999,0.040679999999999994,0.007786999999999988,0.003893499999999994
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,center_distance_m,valid,10,0.01008649999999997,-0.16426775,0.034931000000000004,5,0.013979999999999992,-0.07479800000000003,0.017684000000000033,5,0.0061929999999999485,-0.19409099999999999,0.040679999999999994,0.007787000000000044,0.003893500000000022
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,goal_messages,valid,10,-36.5,-37.0,-36.0,5,-37.0,-37.0,-36.0,5,-36.0,-37.0,-36.0,-1.0,-0.5
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,mission_time_s,complete,10,-0.08999999999999986,-0.5749999999999975,0.022499999999999076,5,-0.04999999999999716,-0.4399999999999977,-0.030000000000001137,5,-0.13000000000000256,-0.6199999999999974,0.03999999999999915,0.0800000000000054,0.0400000000000027
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,path_length_m,complete,10,-0.5830000000000055,-1.2572499999999955,0.28300000000000125,5,-0.42900000000000205,-1.2549999999999955,0.34499999999999886,5,-0.737000000000009,-1.2579999999999956,0.09700000000000841,0.30800000000000693,0.15400000000000347
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,fsm_cpu_pct,complete,10,0.9939460014272505,0.18728462117172917,3.8414878016993352,5,0.6401447558352586,0.03633124295055268,3.956163788829869,5,1.08390401379323,0.903987989061271,3.4974598403077337,-0.44375925795797144,-0.22187962897898572
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,monitor_flight_cpu_pct,complete,10,0.08874800000000027,-0.4682427500000006,0.35924149999999955,5,0.3644979999999993,0.0714100000000002,0.5544939999999992,5,-0.590097000000001,-0.7289980000000007,0.10608600000000035,0.9545950000000003,0.47729750000000015
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,perf_frames,complete,10,17.0,-21.5,28.75,5,29.0,-28.0,55.0,5,7.0,-2.0,27.0,22.0,11.0
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,pts_mean,complete,10,1662.0721758199797,-1551.072788127729,3244.6899321798046,5,1993.121281464526,-2206.95219992521,3262.375767727528,5,1331.0230701754335,-32.1164992952763,3191.6324255366344,662.0982112890924,331.0491056445462
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,total_ms_mean,complete,10,-0.10365239071431809,-0.38115527208496447,0.32682216730411184,5,-0.0040287533349516735,-0.2032760280936845,0.06731105259877701,5,-0.25331926929824533,-0.42376727301387085,0.4133258722058901,0.24929051596329366,0.12464525798164683
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,raycast_ms_mean,complete,10,-0.06994711388157526,-0.17400228719916977,0.16521185760325197,5,-0.0895054062500007,-0.0966833926944668,-0.05038882151314983,5,0.0160677837326606,-0.2849252403508773,0.2149265488934491,-0.1055731899826613,-0.05278659499133065
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,update_ms_mean,complete,10,-0.03752697454876719,-0.4182504139679559,0.17841499078091538,5,-0.10676790137823566,-0.3541185884065001,0.11751900411317528,5,0.031713952280701285,-0.43962768915510786,0.19871365300349542,-0.13848185365893695,-0.06924092682946847
goal_ab,once_minus_repeat,raw_oneway_repeat,raw_oneway_once,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,inflation_ms_mean,complete,10,0.03880870595815322,-0.2536959597379481,0.09540444697885186,5,0.05988459963560455,-0.2618960371089014,0.06004683728031912,5,0.017732812280701893,-0.22909572762508823,0.10719031687836278,0.04215178735490266,0.02107589367745133
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,clearance_m,valid,10,0.01481,-0.07024075,0.05707599999999999,5,-0.059083,-0.07396000000000001,0.014602000000000004,5,0.06728699999999999,0.015017999999999998,0.06928,-0.12636999999999998,-0.06318499999999999
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,center_distance_m,valid,10,0.014810000000000004,-0.07024075000000002,0.05707599999999999,5,-0.059083,-0.07396000000000003,0.014602000000000004,5,0.06728699999999999,0.015018000000000004,0.06928000000000001,-0.12636999999999998,-0.06318499999999999
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,goal_messages,valid,10,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,mission_time_s,complete,10,-0.3149999999999977,-1.0749999999999993,0.20250000000000412,5,-0.20999999999999375,-1.6599999999999966,-0.0899999999999963,5,-0.4200000000000017,-0.9400000000000048,1.5599999999999952,0.21000000000000796,0.10500000000000398
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,path_length_m,complete,10,-0.508499999999998,-2.0465000000000018,0.14399999999999835,5,-0.5959999999999894,-2.1370000000000005,-0.05700000000000216,5,-0.4210000000000065,-1.7750000000000057,1.5180000000000007,-0.17499999999998295,-0.08749999999999147
quiet_ab,quiet_minus_once,raw_oneway_once,raw_oneway_once_quiet,B_minus_A,10,10,0,0,10,10,5,5,5,5,0,True,fsm_cpu_pct,complete,10,0.9988178779437575,-0.057497518162321626,4.817625194937316,5,3.778913315279368,1.6743541630355594,5.1638624881566315,5,0.17137451773608348,-0.13378819679512333,0.3232815928519557,3.6075387975432847,1.8037693987716423
